label,n1
A DIE la AUG,1917
Baptizati,1881
Conversi ad fidem,82
Confess. Particul,517577
General,7701
Commun. in T,965312
Matrdmon. Benedict,299
Revalidata,33
Extrem. Unct,1481
Cathecheses,7704
Parati ad 1 Commun,1258
** ** Confirmat,834
Exhortationes,1046
Conciones,3286
Exerc. Spir. Sacerd,8
""" Relig",92
DIEM lam AUG,1918
Exerc. Spir. Studiosis,46
""" Privatis",328
Missiones,126
Novenae,10
Tridua,91
Visitation Hospit,3429
** Career,15
Infirm,7603
Sodalitates,36
Numerus Sodalium Vir,857
Mul,2803
Puer,1690
Puell,2739
Inscript. in Apost. Orat,16466
Foed. SS. Cordis,1400
