label,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
Maryla7id.-N. T. \,6490
Baltimore I,310
Boston,1480
Buffalo,476
Brooklyn,352
Jamaica,135
Jersey City,491
N. Y.-Fordham(^),1021
St. Fran. Xav,382
Loyola,61
Philadelphia,411
Wash.-Gonzaga,101
Georgeto\vn(2),292
Worcester,538
Belize,88
Chicago (3),748
Cincinnati I,409
Cleveland |,439
Detroit'*) j,386
Milwaukee ('),638
Prairie duChien,333
St. Mary's,441
Toledo (8),258
Augusta,63
Grand Coteau,126
Mobile,196
N.Orl.-(Im. Cone.),253
Loyola^''),45
Tampa,70
Missoula,52
"San Franciscoti"")",465
Santa Clara,370
Seattle,172
Tacoma |,220
Colorado-N. Mex. :,206
Denver,206
Canada \,12,41
Loyola |,225
St. Boniface |;,346
St. Fran. Xavier's,60
Sacred Heart i,80
no .. 52 .. 465;.. 1501 220 172I,3721,178,220
i662\s67i,50,200,420,1060
1121 364 60! 252 i,104
-I,45
27 43 24I 82 6ij,109,133
Total IX Colleges 15419 12788 2189 2740 8606 1 661 286 358 10041 -61,697,1204
no,52,231
-I -6,15
-I -6,22,2,12
Law Med,344,250
Total,642,1076,642,78,747,604,922,28,106,103,88,45
Total in Colleges 15419 University Total,5081
Grand Total,20500
"Total in Colleges, 1912, 13468. University Total",1912,4600
Grand Total,191,2,18066
