label,n1,n2
"St. Louis, Mo '",328
"Cincinnati, O i",394
"St. Mary's, Kansas.;",239
"Chicago, 111 i",494
"Detroit, Mich :",290
"Omaha, Neb J",176
"Milwaukee, Wis...);",231
"Spring Hill, Ala. ...|[ 127 New Orleans, L,a...|i 333 Galveston, Texas...!",132
' 316 i,228
Total 77 16| 1448! 12616142I 44I 236 1 2 104 1 3045 1 952I 733I 882|,291,29
"tLaw School, 288 ; Medical vSchool, 82 ; School of Arts, 281 ; Total, 651. ^ N. B. The A. M.'s and A. B.'s are counted in the College course. 1| As compared with the year i894-'95, the total then being",7687
i Medical vSchool,51
