label,n1
Fr. Edward F. Roche 43 Jan,13
Fr. Francis J. O'Neill 67 Feb,12
Br. Pascal Pandolfi 74 Feb,27
Rr. James Clark 80 Feb,21
Fr. Aloysius G. Van der Eerden... 63 Feb,25
Br. William Nugent 37 Mar,5
Mrf John E. Powers 25 Mar,29
Br. Francis X. Carvalho 41 Mar,18
Fr. Leopold Van Gorp 71 Apr,7
Fr. William H. Sumner 17 Apr,7
"Fr, Francis Braun 78 Apr",9
Fr. John Kiely 54 Apr,15
Fr. John B. Nagle 62 Apr,19
Br. Thomas Nestor 43 May,6
Br. Patrick McCann 69 May,14
